"ac6756b7-f087-4b3c-8fca-dfd22fa4dce3","12d22d08-57fb-4ddd-b56e-a83c3f168862",9,10,"OF503MAG",0.03
"cfdb9107-8d5d-4571-8ea2-f4ec0629837f","12d22d08-57fb-4ddd-b56e-a83c3f168862",10,9,"OF503MAG",0.03
"ac69b500-08c2-4a99-bd23-f77842c3ccb8","12d22d08-57fb-4ddd-b56e-a83c3f168862",11,11,"OF503MAG",0.03
"141883e3-6aca-45a0-a777-06424faca676","12d22d08-57fb-4ddd-b56e-a83c3f168862",12,11,"OF503MAG",0.03
"f3a88eb4-4c91-4370-995e-3cdc6ada72c6","12d22d08-57fb-4ddd-b56e-a83c3f168862",13,9,"OF503MAG",0.03
"1d785385-bb07-415c-b37a-01c6d0808450","12d22d08-57fb-4ddd-b56e-a83c3f168862",14,9,"OF503MAG",0.03
"02d87d5a-07d4-4622-88a2-679abf186bc2","12d22d08-57fb-4ddd-b56e-a83c3f168862",15,8,"OF503MAG",0.03
"61395c01-6489-4c12-a55a-631d79b31b0d","12d22d08-57fb-4ddd-b56e-a83c3f168862",16,8,"OF503MAG",0.04
"a59f868f-8e04-4b40-b346-d19f0226e330","12d22d08-57fb-4ddd-b56e-a83c3f168862",17,14,"OF503MAG",0.03
"39153aec-ff76-434f-b729-e9a474f5b145","12d22d08-57fb-4ddd-b56e-a83c3f168862",18,4,"OF503MAG",0.03
"0df3d638-811d-42f8-9fc1-4dd1aec40454","12d22d08-57fb-4ddd-b56e-a83c3f168862",19,11,"OF503MAG",0.03
"3ea8e6dc-6f02-4187-9f8b-2f9d429bdaa7","12d22d08-57fb-4ddd-b56e-a83c3f168862",20,5,"OF503MAG",0.03
"967a4f97-bb19-43b6-aa43-13130701db2d","12d22d08-57fb-4ddd-b56e-a83c3f168862",21,10,"OF503MAG",0.04
"c4a876f8-9f92-4fc7-9d60-0bdbc51e3f1c","12d22d08-57fb-4ddd-b56e-a83c3f168862",22,4,"OF503MAG",0.04
"8c35d4b8-e65b-4130-ade5-30ed12f9d6a7","12d22d08-57fb-4ddd-b56e-a83c3f168862",23,2,"OF503MAG",0.03
"790682d2-27a5-42dd-9ede-ea05a2d2b7e0","12d22d08-57fb-4ddd-b56e-a83c3f168862",0,2,"LB003320",0.02
"8af2fc06-95f8-4d6c-abbe-729a1a0916f6","12d22d08-57fb-4ddd-b56e-a83c3f168862",1,3,"LB003320",0.02
"355b9928-23ad-4b77-ba7b-ab90991014b7","12d22d08-57fb-4ddd-b56e-a83c3f168862",2,5,"LB003320",0.02
"c14effa4-49ac-463a-a251-a94e96c0e23a","12d22d08-57fb-4ddd-b56e-a83c3f168862",3,2,"LB003320",0.02
"f8dd6bef-fdf6-4a85-a8af-c1d691efa29a","12d22d08-57fb-4ddd-b56e-a83c3f168862",5,1,"LB003320",0.03
"02b4b89d-22f3-49b0-8893-63551a0be648","12d22d08-57fb-4ddd-b56e-a83c3f168862",7,1,"LB003320",0.02
"b297bbd0-bc67-447d-bad4-32547de4b61d","12d22d08-57fb-4ddd-b56e-a83c3f168862",8,5,"LB003320",0.02
"966c8700-5c36-404f-b298-b72b5a2151c6","12d22d08-57fb-4ddd-b56e-a83c3f168862",9,2,"LB003320",0.02
"db04b85d-f0bd-4d72-b51f-3773ebf506dc","12d22d08-57fb-4ddd-b56e-a83c3f168862",10,1,"LB003320",0.02
"eb78740e-ef74-451b-ab1b-d71761d6b9d4","12d22d08-57fb-4ddd-b56e-a83c3f168862",11,1,"LB003320",0.02
"3e451b7f-16f8-4e70-8b5c-8db31c9120db","12d22d08-57fb-4ddd-b56e-a83c3f168862",12,2,"LB003320",0.02
"87fcff04-a1a2-49b0-bc33-c59b339c5a62","12d22d08-57fb-4ddd-b56e-a83c3f168862",13,2,"LB003320",0.02
"7bf3ec68-f8bb-458b-b89b-968a4e43f500","12d22d08-57fb-4ddd-b56e-a83c3f168862",14,2,"LB003320",0.01
"08bce426-caad-4056-9dea-72ae3903b1e8","12d22d08-57fb-4ddd-b56e-a83c3f168862",15,6,"LB003320",0.01
"ea07c4b7-4e25-404f-99aa-c7c52b2ab42a","12d22d08-57fb-4ddd-b56e-a83c3f168862",16,4,"LB003320",0.02
"d9ce3d8d-1d04-44bd-81bf-dfd8b9829900","12d22d08-57fb-4ddd-b56e-a83c3f168862",17,2,"LB003320",0.01
"51dffc7e-210d-473b-8e23-eff2e32d5d77","12d22d08-57fb-4ddd-b56e-a83c3f168862",18,3,"LB003320",0.02
"31095367-1b66-4f86-abbf-6f78c2e19344","12d22d08-57fb-4ddd-b56e-a83c3f168862",19,6,"LB003320",0.02
"94d4d5c7-1e7a-4383-bfd6-631917ba8280","12d22d08-57fb-4ddd-b56e-a83c3f168862",20,2,"LB003320",0.02
"0f922b7d-92eb-4039-a723-f7e6940c6c94","12d22d08-57fb-4ddd-b56e-a83c3f168862",21,7,"LB003320",0.02
"10509532-f305-4512-9d3e-6bee760bbc8c","12d22d08-57fb-4ddd-b56e-a83c3f168862",22,1,"LB003320",0.01
"8b82063a-d48b-4ec7-a8e8-68d190c5a9e1","12d22d08-57fb-4ddd-b56e-a83c3f168862",23,4,"LB003320",0.02
"24ae05d8-2915-4570-b718-f5d5177a2513","12d22d08-57fb-4ddd-b56e-a83c3f168862",0,8,"LB003322",0.02
"cc883196-81bf-444e-b85d-85324df23ea5","12d22d08-57fb-4ddd-b56e-a83c3f168862",1,1,"LB003322",0.02
"e79b418b-6c4e-4c3f-b59a-2ee862150e51","12d22d08-57fb-4ddd-b56e-a83c3f168862",2,7,"LB003322",0.02
"4cd81bad-1c79-419a-94d5-0ea1de23c2cf","12d22d08-57fb-4ddd-b56e-a83c3f168862",3,3,"LB003322",0.02
"59333b2c-e5c5-4686-9acb-1f1f3c45f5b0","12d22d08-57fb-4ddd-b56e-a83c3f168862",4,1,"LB003322",0.02
"702f474e-629e-4dcc-aa20-21844936ce24","12d22d08-57fb-4ddd-b56e-a83c3f168862",5,1,"LB003322",0.02
"3a489996-2251-473d-b6f9-519bdac6d22f","12d22d08-57fb-4ddd-b56e-a83c3f168862",7,2,"LB003322",0.02
"c280d5b2-6ee3-433b-9294-c327fb387dae","12d22d08-57fb-4ddd-b56e-a83c3f168862",10,1,"LB003322",0.01
"82d28ab2-4323-486a-b382-6871506efaab","12d22d08-57fb-4ddd-b56e-a83c3f168862",11,1,"LB003322",0.02
"e31c5b67-92df-4907-ba04-a7038134c62b","12d22d08-57fb-4ddd-b56e-a83c3f168862",12,6,"LB003322",0.02
"2169d133-1b6a-413e-af6d-9b588938cb3a","12d22d08-57fb-4ddd-b56e-a83c3f168862",13,13,"LB003322",0.01
